Geo Point;Geo Shape;OBJECTID_1;gares_id;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.85787849486676, 2.3800206442479825;"{""coordinates"": [2.380020644247983, 48.85787849486676], ""type"": ""Point""}";937;920;Voltaire;;;71750;Voltaire;45065;Voltaire;A01542;C01379;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;654511.3779;6862161.0305;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;Voltaire
48.84665685124266, 2.3516232550160123;"{""coordinates"": [2.351623255016012, 48.84665685124266], ""type"": ""Point""}";648;125;Cardinal Lemoine;;;71153;Cardinal Lemoine;42435;Cardinal Lemoine;A01543;C01380;METRO 10;10;METRO;0;0;0;0;0;RATP;1;0;652417.6278;6860930.0204;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049;Cardinal Lemoine
48.85008987805251, 2.3482087741854687;"{""coordinates"": [2.348208774185469, 48.85008987805251], ""type"": ""Point""}";705;525;Maubert-Mutualité;;;71190;Maubert Mutualité;44119;Maubert Mutualité;A01543;C01380;METRO 10;10;METRO;0;0;0;0;0;RATP;1;0;652170.2062;6861313.803;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/2354d638a96aaa2bdc700214befec049;Maubert-Mutualité
48.87130850300574, 2.331493987087091;"{""coordinates"": [2.331493987087091, 48.87130850300574], ""type"": ""Point""}";767;606;Opéra;;;71337;Opéra;42237;Opéra;A01536;C01373;METRO 3;3;METRO;0;0;0;0;0;RATP;1;0;650963.6442;6863683.3869;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Opéra
48.869637996887164, 2.3362327568689163;"{""coordinates"": [2.336232756868916, 48.869637996887164], ""type"": ""Point""}";807;719;Quatre Septembre;;;71313;Quatre Septembre;44587;Quatre Septembre;A01536;C01373;METRO 3;3;METRO;0;0;0;0;0;RATP;1;0;651309.6735;6863494.7068;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;Quatre Septembre
48.85343696230164, 2.368736572626169;"{""coordinates"": [2.368736572626169, 48.85343696230164], ""type"": ""Point""}";618;55;Bastille;;;463564;Bastille;42288;Bastille;A01538;C01375;METRO 5;5;METRO;0;0;0;0;0;RATP;1;0;653679.5214;6861673.7301;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;Bastille
48.86496414577929, 2.3679014148417363;"{""coordinates"": [2.367901414841736, 48.86496414577929], ""type"": ""Point""}";763;602;Oberkampf;;;71803;Oberkampf;45193;Oberkampf;A01538;C01375;METRO 5;5;METRO;0;0;0;0;0;RATP;1;0;653628.5015;6862955.9476;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;Oberkampf
48.89545467305272, 2.4253268901662555;"{""coordinates"": [2.425326890166255, 48.89545467305272], ""type"": ""Point""}";872;80;Bobigny-Pantin - Raymond Queneau;;;72039;Bobigny - Pantin - Raymond Queneau;42344;Bobigny-Pantin - Raymond Queneau;A01538;C01375;METRO 5;5;METRO;0;0;0;0;0;RATP;1;0;657865.899;6866314.133;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273;Bobigny-Pantin - Raymond Queneau
48.89143955488239, 2.349627158227453;"{""coordinates"": [2.349627158227453, 48.89143955488239], ""type"": ""Point""}";702;511;Marcadet-Poissonniers;;;71511;Marcadet Poissonniers;44075;Marcadet Poissonniers;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;652312.1582;6865910.7256;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Marcadet-Poissonniers
48.83111266037533, 2.3297050126201846;"{""coordinates"": [2.329705012620185, 48.83111266037533], ""type"": ""Point""}";760;573;Mouton-Duvernet;;;73653;Mouton Duvernet;44183;Mouton Duvernet;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;650794.4816;6859215.1047;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Mouton-Duvernet
48.853718934000206, 2.3337761382184676;"{""coordinates"": [2.333776138218468, 48.853718934000206], ""type"": ""Point""}";834;767;Saint-Germain-des-Prés;;;71216;Saint-Germain-des-Prés;44799;Saint-Germain-des-Prés;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;651114.5389;6861726.1589;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Saint-Germain-des-Prés
48.84221841361353, 2.329008926235403;"{""coordinates"": [2.329008926235403, 48.84221841361353], ""type"": ""Point""}";843;879;Vavin;;;71117;Vavin;44997;Vavin;A01537;C01374;METRO 4;4;METRO;0;0;0;0;0;RATP;1;0;650753.8774;6860450.3764;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;Vavin
